sep=,
2023-10-16 17:09:36,819
2023-10-16 17:11:43,819
2023-10-16 17:13:50,817
2023-10-16 17:15:57,812
2023-10-16 17:18:04,814
2023-10-16 17:20:11,816
2023-10-16 17:22:18,817
2023-10-16 17:24:25,813
2023-10-16 17:26:32,814
2023-10-16 17:28:39,806
2023-10-16 17:30:46,796
2023-10-16 17:32:53,793
2023-10-16 17:35:00,793
2023-10-16 17:37:07,790
2023-10-16 17:39:14,784
2023-10-16 17:41:21,783
2023-10-16 17:43:28,780
2023-10-16 17:45:35,784
2023-10-16 17:47:42,789
2023-10-16 17:49:49,784
2023-10-16 17:51:56,779
2023-10-16 17:54:03,782
2023-10-16 17:56:10,783
2023-10-16 17:58:17,774
2023-10-16 18:00:24,780
2023-10-16 18:02:31,770
2023-10-16 18:04:38,773
2023-10-16 18:06:46,769
2023-10-16 18:08:53,768
2023-10-16 18:11:00,762
2023-10-16 18:13:07,789
2023-10-16 18:15:14,799
2023-10-16 18:17:21,805
2023-10-16 18:19:28,813
2023-10-16 18:21:35,816
2023-10-16 18:23:42,822
2023-10-16 18:25:49,825
2023-10-16 18:27:56,831
2023-10-16 18:30:03,839
2023-10-16 18:32:10,839
2023-10-16 18:34:17,842
2023-10-16 18:36:24,846
2023-10-16 18:38:31,851
2023-10-16 18:40:38,854
2023-10-16 18:42:45,858
2023-10-16 18:44:52,870
2023-10-16 18:46:59,850
2023-10-16 18:49:06,837
2023-10-16 18:51:13,823
2023-10-16 18:53:20,814
2023-10-16 18:55:27,807
2023-10-16 18:57:34,806
2023-10-16 18:59:41,831
2023-10-16 19:01:48,852
2023-10-16 19:03:55,863
2023-10-16 19:06:02,885
2023-10-16 19:08:09,950
2023-10-16 19:10:16,976
2023-10-16 19:12:23,1409
2023-10-16 19:14:30,1634
2023-10-16 19:16:37,1775
2023-10-16 19:18:44,1964
2023-10-16 19:20:52,2149
2023-10-16 19:22:59,2217
2023-10-16 19:25:06,2150
2023-10-16 19:27:13,2161
2023-10-16 19:29:20,2161
2023-10-16 19:31:27,2182
2023-10-16 19:33:34,2246
2023-10-16 19:35:41,2227
2023-10-16 19:37:48,2143
2023-10-16 19:42:02,2125
2023-10-16 19:44:09,2111
2023-10-16 19:48:23,2100
2023-10-16 19:50:30,2082
2023-10-16 19:54:44,2043
2023-10-16 19:56:51,2026
2023-10-16 19:58:58,2008
2023-10-16 20:01:05,1989
2023-10-16 20:03:12,1971
2023-10-16 20:07:26,1919
2023-10-16 20:09:33,1919
2023-10-16 20:11:40,1909
2023-10-16 20:13:47,1901
2023-10-16 20:15:54,1883
2023-10-16 20:18:01,1864
2023-10-16 20:20:08,1848
2023-10-16 20:22:15,1832
2023-10-16 20:24:22,1811
2023-10-16 20:26:29,1793
2023-10-16 20:28:36,1783
2023-10-16 20:30:43,1770
2023-10-16 20:32:50,1754
2023-10-16 20:34:58,1743
2023-10-16 20:37:05,1728
2023-10-16 20:39:12,1724
2023-10-16 20:41:19,1711
2023-10-16 20:43:26,1697
2023-10-16 20:45:33,1687
2023-10-16 20:47:40,1670
2023-10-16 20:49:47,1648
2023-10-16 20:51:54,1635
2023-10-16 20:54:01,1626
2023-10-16 20:56:08,1619
2023-10-16 20:58:15,1609
2023-10-16 21:00:22,1604
2023-10-16 21:02:29,1591
2023-10-16 21:04:36,1582
2023-10-16 21:06:43,1575
2023-10-16 21:08:50,1559
2023-10-16 21:10:57,1532
2023-10-16 21:13:04,1525
2023-10-16 21:15:11,1515
2023-10-16 21:17:18,1504
2023-10-16 21:19:25,1470
2023-10-16 21:21:32,1450
2023-10-16 21:23:39,1435
2023-10-16 21:25:46,1427
2023-10-16 21:27:53,1419
2023-10-16 21:30:00,1386
2023-10-16 21:32:07,1367
2023-10-16 21:34:14,1341
2023-10-16 21:36:21,1328
2023-10-16 21:38:28,1301
2023-10-16 21:40:35,1280
2023-10-16 21:42:42,1271
2023-10-16 21:44:49,1258
2023-10-16 21:46:57,1257
2023-10-16 21:49:04,1250
2023-10-16 21:51:11,1236
2023-10-16 21:53:18,1227
2023-10-16 21:55:25,1216
2023-10-16 21:57:32,1201
2023-10-16 21:59:39,1191
2023-10-16 22:01:46,1181
2023-10-16 22:03:53,1176
2023-10-16 22:06:00,1168
2023-10-16 22:08:07,1159
2023-10-16 22:10:14,1148
2023-10-16 22:12:19,1140
2023-10-16 22:14:26,1135
2023-10-16 22:16:33,1127
2023-10-16 22:18:40,1124
2023-10-16 22:20:47,1125
2023-10-16 22:22:54,1109
2023-10-16 22:25:01,1104
2023-10-16 22:27:08,1106
2023-10-16 22:29:15,1099
2023-10-16 22:31:22,1090
2023-10-16 22:33:29,1086
2023-10-16 22:35:36,1076
2023-10-16 22:37:43,1067
2023-10-16 22:39:50,1058
2023-10-16 22:41:57,1055
2023-10-16 22:44:04,1046
2023-10-16 22:46:11,1040
2023-10-16 22:48:18,1037
2023-10-16 22:50:25,1032
2023-10-16 22:52:33,1033
2023-10-16 22:54:40,1030
2023-10-16 22:56:47,1029
2023-10-16 22:58:54,1020
2023-10-16 23:01:01,1018
2023-10-16 23:03:08,1010
2023-10-16 23:05:15,1013
2023-10-16 23:07:22,1010
2023-10-16 23:09:29,1010
2023-10-16 23:11:36,1009
2023-10-16 23:13:43,1005
2023-10-16 23:15:50,1000
2023-10-16 23:17:57,996
2023-10-16 23:20:04,994
2023-10-16 23:22:11,992
2023-10-16 23:24:18,987
2023-10-16 23:26:25,988
2023-10-16 23:28:32,984
2023-10-16 23:30:39,985
2023-10-16 23:32:46,985
2023-10-16 23:34:53,980
2023-10-16 23:37:00,977
2023-10-16 23:39:07,975
2023-10-16 23:41:14,977
2023-10-16 23:43:21,976
2023-10-16 23:45:28,974
2023-10-16 23:47:35,968
2023-10-16 23:49:42,962
2023-10-16 23:51:49,961
2023-10-16 23:53:56,955
2023-10-16 23:56:03,959
2023-10-16 23:58:10,958
2023-10-17 00:00:17,952
2023-10-17 00:02:24,948
2023-10-17 00:04:31,946
2023-10-17 00:06:38,940
2023-10-17 00:08:46,938
2023-10-17 00:10:53,932
2023-10-17 00:13:00,932
2023-10-17 00:15:07,929
2023-10-17 00:17:14,923
2023-10-17 00:19:21,922
2023-10-17 00:21:28,919
2023-10-17 00:23:35,920
2023-10-17 00:25:42,919
2023-10-17 00:27:49,917
2023-10-17 00:29:56,909
2023-10-17 00:32:03,905
2023-10-17 00:34:10,907
2023-10-17 00:36:17,909
2023-10-17 00:38:24,911
2023-10-17 00:40:31,907
2023-10-17 00:42:38,909
2023-10-17 00:44:45,906
2023-10-17 00:46:52,905
2023-10-17 00:48:59,902
2023-10-17 00:51:06,897
2023-10-17 00:53:13,890
2023-10-17 00:55:20,891
2023-10-17 00:57:27,882
2023-10-17 00:59:34,880
2023-10-17 01:01:41,880
2023-10-17 01:03:48,884
2023-10-17 01:05:55,886
2023-10-17 01:08:02,886
2023-10-17 01:10:09,899
2023-10-17 01:12:16,904
2023-10-17 01:14:23,910
2023-10-17 01:16:30,909
2023-10-17 01:18:37,912
2023-10-17 01:20:44,910
2023-10-17 01:22:52,905
2023-10-17 01:24:59,908
2023-10-17 01:27:06,897
2023-10-17 01:29:13,894
2023-10-17 01:31:20,898
2023-10-17 01:33:27,902
2023-10-17 01:35:34,903
2023-10-17 01:37:41,901
2023-10-17 01:39:48,894
2023-10-17 01:41:55,889
2023-10-17 01:44:02,891
2023-10-17 01:46:09,885
2023-10-17 01:48:16,885
2023-10-17 01:50:23,886
2023-10-17 01:52:30,897
2023-10-17 01:54:37,905
2023-10-17 01:56:44,910
2023-10-17 01:58:51,911
2023-10-17 02:00:58,916
2023-10-17 02:03:05,917
2023-10-17 02:05:12,913
2023-10-17 02:07:19,908
2023-10-17 02:09:26,903
2023-10-17 02:11:33,903
2023-10-17 02:13:40,896
2023-10-17 02:15:47,890
2023-10-17 02:17:54,894
2023-10-17 02:20:01,898
2023-10-17 02:22:08,894
2023-10-17 02:24:15,901
2023-10-17 02:26:22,905
2023-10-17 02:28:29,902
2023-10-17 02:30:36,899
2023-10-17 02:32:43,898
2023-10-17 02:34:51,903
2023-10-17 02:36:58,901
2023-10-17 02:39:05,900
2023-10-17 02:41:12,902
2023-10-17 02:43:19,905
2023-10-17 02:45:26,909
2023-10-17 02:47:33,906
2023-10-17 02:49:40,902
2023-10-17 02:51:47,904
2023-10-17 02:53:54,905
2023-10-17 02:56:01,901
2023-10-17 02:58:08,901
2023-10-17 03:00:15,891
2023-10-17 03:02:22,890
2023-10-17 03:04:29,895
2023-10-17 03:06:36,891
2023-10-17 03:10:50,889
2023-10-17 03:12:57,891
2023-10-17 03:15:04,892
2023-10-17 03:17:11,889
2023-10-17 03:19:18,891
2023-10-17 03:21:25,884
2023-10-17 03:23:32,884
2023-10-17 03:27:46,890
2023-10-17 03:29:53,895
2023-10-17 03:32:00,890
2023-10-17 03:34:07,890
2023-10-17 03:36:14,889
2023-10-17 03:38:21,887
2023-10-17 03:40:28,881
2023-10-17 03:42:35,869
2023-10-17 03:44:42,866
2023-10-17 03:46:49,860
2023-10-17 03:51:04,864
2023-10-17 03:53:11,869
2023-10-17 03:55:18,867
2023-10-17 03:57:25,863
2023-10-17 03:59:32,858
2023-10-17 04:01:39,853
2023-10-17 04:03:46,858
2023-10-17 04:05:53,858
2023-10-17 04:08:00,867
2023-10-17 04:10:07,871
2023-10-17 04:12:14,869
2023-10-17 04:14:21,869
2023-10-17 04:16:28,864
2023-10-17 04:18:35,864
2023-10-17 04:20:42,861
2023-10-17 04:22:49,869
2023-10-17 04:24:56,875
2023-10-17 04:27:03,877
2023-10-17 04:29:10,880
2023-10-17 04:31:17,881
2023-10-17 04:33:24,881
2023-10-17 04:35:31,885
2023-10-17 04:37:38,884
2023-10-17 04:39:45,878
2023-10-17 04:41:52,883
2023-10-17 04:43:59,889
2023-10-17 04:46:06,885
2023-10-17 04:48:13,884
2023-10-17 04:50:20,885
2023-10-17 04:52:27,877
2023-10-17 04:54:34,878
2023-10-17 04:56:41,877
2023-10-17 04:58:48,876
2023-10-17 05:00:55,870
2023-10-17 05:03:03,875
2023-10-17 05:05:10,875
2023-10-17 05:07:17,874
2023-10-17 05:09:24,870
2023-10-17 05:11:31,871
2023-10-17 05:13:38,870
2023-10-17 05:15:45,869
2023-10-17 05:17:50,865
2023-10-17 05:19:57,866
2023-10-17 05:22:04,868
2023-10-17 05:24:11,871
2023-10-17 05:26:18,878
2023-10-17 05:28:25,889
2023-10-17 05:30:32,888
2023-10-17 05:32:39,889
2023-10-17 05:34:46,890
2023-10-17 05:36:53,887
2023-10-17 05:39:00,896
2023-10-17 05:41:07,895
2023-10-17 05:43:14,894
2023-10-17 05:45:21,889
2023-10-17 05:47:28,889
2023-10-17 05:49:35,888
2023-10-17 05:51:42,893
2023-10-17 05:53:49,898
2023-10-17 05:55:56,896
2023-10-17 05:58:03,899
2023-10-17 06:00:10,895
2023-10-17 06:02:17,899
2023-10-17 06:04:24,889
2023-10-17 06:06:31,887
2023-10-17 06:08:38,888
2023-10-17 06:10:46,891
2023-10-17 06:12:53,892
2023-10-17 06:15:00,890
2023-10-17 06:17:07,894
2023-10-17 06:19:14,890
2023-10-17 06:21:21,888
2023-10-17 06:23:28,888
2023-10-17 06:25:35,893
2023-10-17 06:27:42,890
2023-10-17 06:29:49,890
2023-10-17 06:31:56,891
2023-10-17 06:34:03,893
2023-10-17 06:36:10,891
2023-10-17 06:38:17,891
2023-10-17 06:40:24,893
2023-10-17 06:42:31,896
2023-10-17 06:46:45,893
2023-10-17 06:48:52,893
2023-10-17 06:50:59,895
2023-10-17 06:53:06,898
2023-10-17 06:55:13,896
2023-10-17 06:57:20,898
2023-10-17 06:59:27,899
2023-10-17 07:01:34,901
2023-10-17 07:03:41,900
2023-10-17 07:05:48,899
2023-10-17 07:07:55,899
2023-10-17 07:10:02,903
2023-10-17 07:12:09,899
2023-10-17 07:14:16,897
2023-10-17 07:16:23,899
2023-10-17 07:18:30,899
2023-10-17 07:20:37,896
2023-10-17 07:22:45,893
2023-10-17 07:24:52,893
2023-10-17 07:26:59,891
2023-10-17 07:29:06,891
2023-10-17 07:31:13,891
2023-10-17 07:33:20,894
2023-10-17 07:35:27,888
2023-10-17 07:37:34,888
2023-10-17 07:39:41,891
2023-10-17 07:41:48,887
2023-10-17 07:43:55,882
2023-10-17 07:46:02,883
2023-10-17 07:48:09,882
2023-10-17 07:50:16,876
2023-10-17 07:52:23,876
2023-10-17 07:54:30,879
2023-10-17 07:56:37,876
2023-10-17 07:58:44,872
2023-10-17 08:00:51,867
2023-10-17 08:02:58,865
2023-10-17 08:05:05,863
2023-10-17 08:07:12,867
2023-10-17 08:09:19,949
2023-10-17 08:11:26,1112
2023-10-17 08:13:33,1309
2023-10-17 08:15:40,1518
2023-10-17 08:17:47,1650
2023-10-17 08:19:54,1691
2023-10-17 08:22:01,1622
2023-10-17 08:24:08,1519
2023-10-17 08:26:15,1437
2023-10-17 08:28:22,1418
2023-10-17 08:30:29,1408
2023-10-17 08:34:44,1395
2023-10-17 08:36:51,1453
2023-10-17 08:38:58,1461
2023-10-17 08:41:05,1456
2023-10-17 08:43:12,1453
2023-10-17 08:45:19,1444
2023-10-17 08:47:26,1444
2023-10-17 08:49:33,1434
2023-10-17 08:51:40,1426
2023-10-17 08:53:47,1424
2023-10-17 08:55:54,1415
2023-10-17 08:58:01,1414
2023-10-17 09:00:08,1415
2023-10-17 09:02:15,1408
2023-10-17 09:04:22,1410
2023-10-17 09:06:29,1404
2023-10-17 09:08:36,1392
2023-10-17 09:10:43,1382
2023-10-17 09:12:50,1368
2023-10-17 09:14:57,1360
2023-10-17 09:17:04,1360
2023-10-17 09:19:11,1364
2023-10-17 09:21:18,1362
2023-10-17 09:25:32,1350
2023-10-17 09:27:39,1348
2023-10-17 09:29:46,1348
2023-10-17 09:31:53,1320
2023-10-17 09:34:00,1317
2023-10-17 09:36:07,1307
2023-10-17 09:38:14,1305
2023-10-17 09:40:21,1314
2023-10-17 09:42:28,1333
2023-10-17 09:44:35,1327
2023-10-17 09:46:42,1316
2023-10-17 09:48:50,1299
2023-10-17 09:50:57,1284
2023-10-17 09:53:04,1272
2023-10-17 09:55:11,1272
2023-10-17 09:57:18,1266
2023-10-17 09:59:25,1248
2023-10-17 10:01:32,1220
2023-10-17 10:03:39,1208
2023-10-17 10:07:53,1184
2023-10-17 10:10:00,1172
2023-10-17 10:14:14,1160
2023-10-17 10:16:21,1150
2023-10-17 10:18:28,1139
2023-10-17 10:20:35,1133
2023-10-17 10:22:42,1123
2023-10-17 10:24:49,1119
2023-10-17 10:26:56,1110
2023-10-17 10:29:03,1093
2023-10-17 10:31:10,1084
2023-10-17 10:33:17,1074
2023-10-17 10:35:24,1073
2023-10-17 10:37:31,1069
2023-10-17 10:39:38,1061
2023-10-17 10:41:45,1047
2023-10-17 10:43:52,1040
2023-10-17 10:48:06,1031
2023-10-17 10:50:13,1024
2023-10-17 10:52:20,1019
2023-10-17 10:54:27,1015
2023-10-17 10:56:34,1016
2023-10-17 10:58:41,1014
2023-10-17 11:00:49,1007
2023-10-17 11:02:56,1004
2023-10-17 11:05:03,996
2023-10-17 11:07:10,991
2023-10-17 11:09:17,978
2023-10-17 11:11:24,971
2023-10-17 11:13:31,966
2023-10-17 11:15:38,966
2023-10-17 11:17:45,960
2023-10-17 11:19:52,955
2023-10-17 11:21:59,946
2023-10-17 11:24:06,938
2023-10-17 11:26:13,933
2023-10-17 11:28:20,924
2023-10-17 11:32:34,912
2023-10-17 11:34:41,905
2023-10-17 11:38:55,886
2023-10-17 11:41:02,882
2023-10-17 11:43:09,870
2023-10-17 11:45:16,863
2023-10-17 11:47:23,855
2023-10-17 11:49:30,848
2023-10-17 11:51:37,835
2023-10-17 11:55:51,825
2023-10-17 11:57:58,819
2023-10-17 12:00:05,812
2023-10-17 12:02:12,816
2023-10-17 12:04:19,810
2023-10-17 12:06:26,804
2023-10-17 12:08:33,795
2023-10-17 12:12:47,786
2023-10-17 12:14:54,782
2023-10-17 12:17:02,778
2023-10-17 12:19:09,773
2023-10-17 12:23:23,760
2023-10-17 12:25:28,761
2023-10-17 12:29:42,751
2023-10-17 12:31:49,751
2023-10-17 12:33:56,745
2023-10-17 12:36:03,739
2023-10-17 12:38:10,737
2023-10-17 12:40:17,734
2023-10-17 12:44:31,724
2023-10-17 12:46:38,721
2023-10-17 12:48:45,713
2023-10-17 12:50:52,707
2023-10-17 12:52:59,703
2023-10-17 12:55:06,701
2023-10-17 12:57:13,697
2023-10-17 12:59:20,697
2023-10-17 13:01:27,695
2023-10-17 13:05:41,678
2023-10-17 13:07:48,677
2023-10-17 13:09:55,676
2023-10-17 13:12:02,673
2023-10-17 13:14:09,669
2023-10-17 13:16:16,664
2023-10-17 13:20:30,660
2023-10-17 13:22:38,657
2023-10-17 13:24:45,655
2023-10-17 13:26:52,656
2023-10-17 13:28:59,655
2023-10-17 13:31:06,651
2023-10-17 13:33:13,645
2023-10-17 13:35:20,640
2023-10-17 13:37:27,643
2023-10-17 13:39:34,640
2023-10-17 13:41:41,637
2023-10-17 13:43:48,635
2023-10-17 13:45:55,629
2023-10-17 13:48:02,630
2023-10-17 13:54:23,623
2023-10-17 13:56:30,622
2023-10-17 13:58:37,619
2023-10-17 14:00:44,619
2023-10-17 14:02:51,614
2023-10-17 14:04:58,609
2023-10-17 14:07:05,609
2023-10-17 14:09:12,607
2023-10-17 14:11:19,609
2023-10-17 14:13:26,604
2023-10-17 14:15:33,598
2023-10-17 14:19:47,600
2023-10-17 14:21:54,600
2023-10-17 14:26:08,593
2023-10-17 14:28:15,593
2023-10-17 14:30:22,595
2023-10-17 14:32:29,592
2023-10-17 14:34:36,590
2023-10-17 14:36:44,589
2023-10-17 14:38:51,588
2023-10-17 14:40:58,583
2023-10-17 14:43:05,585
2023-10-17 14:45:12,582
2023-10-17 14:47:19,578
2023-10-17 14:49:26,570
2023-10-17 14:51:33,567
2023-10-17 14:53:40,569
2023-10-17 14:55:47,574
2023-10-17 14:57:54,569
2023-10-17 15:02:08,573
2023-10-17 15:04:15,568
2023-10-17 15:06:22,563
2023-10-17 15:08:29,560
2023-10-17 15:10:36,559
2023-10-17 15:12:43,554
2023-10-17 15:14:50,554
2023-10-17 15:19:04,553
2023-10-17 15:21:11,551
2023-10-17 15:23:18,550
2023-10-17 15:25:25,546
2023-10-17 15:27:32,547
2023-10-17 15:29:39,545
2023-10-17 15:31:46,540
2023-10-17 15:33:53,539
2023-10-17 15:36:00,540
2023-10-17 15:38:07,534
2023-10-17 15:40:14,540
2023-10-17 15:42:21,540
2023-10-17 15:46:35,524
2023-10-17 15:48:42,523
2023-10-17 15:50:50,525
2023-10-17 15:52:57,527
2023-10-17 15:55:04,525
2023-10-17 15:57:11,523
2023-10-17 15:59:18,525
2023-10-17 16:01:25,523
2023-10-17 16:03:32,523
2023-10-17 16:05:39,519
2023-10-17 16:07:46,517
2023-10-17 16:09:53,517
2023-10-17 16:12:00,516
2023-10-17 16:14:07,511
2023-10-17 16:16:14,512
2023-10-17 16:18:21,512
2023-10-17 16:20:28,512
2023-10-17 16:22:35,512
2023-10-17 16:26:49,512
2023-10-17 16:28:56,511
2023-10-17 16:31:03,508
2023-10-17 16:33:10,508
2023-10-17 16:35:17,504
2023-10-17 16:37:24,509
2023-10-17 16:39:31,511
2023-10-17 16:41:38,505
2023-10-17 16:43:45,503
2023-10-17 16:45:52,503
2023-10-17 16:47:59,503
2023-10-17 16:50:06,502
2023-10-17 16:52:13,504
2023-10-17 16:54:20,507
2023-10-17 16:56:27,504
2023-10-17 16:58:34,508
2023-10-17 17:00:41,509
2023-10-17 17:02:48,509
2023-10-17 17:04:56,508
2023-10-17 17:07:03,508
2023-10-17 17:09:10,508
2023-10-17 17:11:17,506
2023-10-17 17:13:24,508
2023-10-17 17:15:31,506
2023-10-17 17:17:38,505
2023-10-17 17:19:45,505
2023-10-17 17:21:52,505
2023-10-17 17:23:59,505
2023-10-17 17:26:06,505
2023-10-17 17:28:13,503
2023-10-17 17:30:20,502
2023-10-17 17:32:27,498
2023-10-17 17:34:34,502
2023-10-17 17:36:41,500
2023-10-17 17:38:48,502
2023-10-17 17:40:55,506
2023-10-17 17:45:09,497
2023-10-17 17:51:30,501
2023-10-17 17:53:37,502
2023-10-17 17:55:44,501
2023-10-17 17:57:51,502
2023-10-17 18:02:05,498
2023-10-17 18:04:12,502
2023-10-17 18:06:19,502
2023-10-17 18:08:26,503
2023-10-17 18:10:33,503
2023-10-17 18:12:40,501
2023-10-17 18:14:47,503
2023-10-17 18:19:02,501
2023-10-17 18:21:09,497
2023-10-17 18:23:16,494
2023-10-17 18:25:23,495
2023-10-17 18:27:30,497
2023-10-17 18:29:37,494
2023-10-17 18:31:44,491
2023-10-17 18:33:51,490
2023-10-17 18:35:58,492
2023-10-17 18:38:05,490
2023-10-17 18:40:12,493
2023-10-17 18:42:19,491
2023-10-17 18:44:26,497
2023-10-17 18:46:33,497
2023-10-17 18:48:40,502
2023-10-17 18:50:47,496
2023-10-17 18:52:54,496
2023-10-17 18:55:01,498
2023-10-17 18:57:08,497
2023-10-17 18:59:15,498
2023-10-17 19:01:22,499
2023-10-17 19:03:29,496
2023-10-17 19:05:36,495
2023-10-17 19:07:43,500
2023-10-17 19:09:50,497
2023-10-17 19:11:57,504
2023-10-17 19:16:11,503
2023-10-17 19:18:18,507
2023-10-17 19:20:25,511
2023-10-17 19:22:32,504
2023-10-17 19:24:39,506
2023-10-17 19:26:46,501
2023-10-17 19:28:53,499
2023-10-17 19:30:59,495
2023-10-17 19:33:06,497
2023-10-17 19:35:13,502
2023-10-17 19:37:20,497
2023-10-17 19:39:27,496
2023-10-17 19:41:34,499
2023-10-17 19:43:41,499
2023-10-17 19:45:48,499
2023-10-17 19:47:55,497
2023-10-17 19:50:02,495
2023-10-17 19:52:09,493
2023-10-17 19:54:16,495
2023-10-17 19:56:23,491
2023-10-17 19:58:30,491
2023-10-17 20:00:37,488
2023-10-17 20:04:51,493
2023-10-17 20:09:05,493
2023-10-17 20:11:12,490
2023-10-17 20:13:19,489
2023-10-17 20:15:26,489
2023-10-17 20:17:33,491
2023-10-17 20:19:40,491
2023-10-17 20:21:47,488
2023-10-17 20:23:54,488
2023-10-17 20:26:01,485
2023-10-17 20:28:08,484
2023-10-17 20:30:15,486
2023-10-17 20:32:22,489
2023-10-17 20:34:29,484
2023-10-17 20:38:44,483
2023-10-17 20:40:51,483
2023-10-17 20:45:05,482
2023-10-17 20:47:12,486
2023-10-17 20:51:26,489
2023-10-17 20:53:33,487
2023-10-17 20:55:40,487
2023-10-17 20:57:47,485
2023-10-17 20:59:54,480
2023-10-17 21:02:01,479
2023-10-17 21:04:08,478
2023-10-17 21:06:15,477
2023-10-17 21:08:22,478
2023-10-17 21:14:43,479
2023-10-17 21:16:50,479
2023-10-17 21:18:57,478
2023-10-17 21:29:32,1014
2023-10-17 21:31:39,1283
2023-10-17 21:33:46,1377
2023-10-17 21:35:53,1247
2023-10-17 21:38:00,1220
2023-10-17 21:40:07,1173
2023-10-17 21:42:14,1160
2023-10-17 21:46:28,1173
2023-10-17 21:48:35,1186
2023-10-17 21:50:42,1186
2023-10-17 21:52:50,1193
2023-10-17 21:54:57,1191
2023-10-17 21:57:04,1191
2023-10-17 21:59:11,1188
2023-10-17 22:01:18,1188
2023-10-17 22:03:25,1187
2023-10-17 22:05:32,1187
2023-10-17 22:07:39,1187
2023-10-17 22:09:46,1183
2023-10-17 22:11:53,1178
2023-10-17 22:14:00,1180
2023-10-17 22:16:07,1173
2023-10-17 22:20:21,1171
2023-10-17 22:22:28,1165
2023-10-17 22:24:35,1155
2023-10-17 22:26:42,1157
2023-10-17 22:28:49,1146
2023-10-17 22:30:56,1137
2023-10-17 22:33:03,1135
2023-10-17 22:35:10,1133
2023-10-17 22:37:17,1131
2023-10-17 22:39:24,1125
2023-10-17 22:41:31,1119
2023-10-17 22:43:38,1124
2023-10-17 22:45:45,1127
2023-10-17 22:49:59,1116
2023-10-17 22:52:06,1117
2023-10-17 22:56:20,1095
2023-10-17 22:58:27,1070
2023-10-17 23:00:34,1045
2023-10-17 23:02:42,1037
2023-10-17 23:04:49,1028
2023-10-17 23:06:56,1005
2023-10-17 23:09:03,986
2023-10-17 23:11:10,975
2023-10-17 23:13:17,971
2023-10-17 23:15:24,967
2023-10-17 23:17:31,959
2023-10-17 23:19:38,951
2023-10-17 23:21:45,946
2023-10-17 23:23:52,941
2023-10-17 23:25:59,936
2023-10-17 23:28:06,931
2023-10-17 23:30:13,927
2023-10-17 23:32:20,922
2023-10-17 23:34:27,913
2023-10-17 23:36:34,913
2023-10-17 23:38:41,911
2023-10-17 23:40:48,904
2023-10-17 23:42:55,904
2023-10-17 23:45:02,901
2023-10-17 23:47:09,899
2023-10-17 23:49:16,894
2023-10-17 23:51:23,893
2023-10-17 23:53:30,892
2023-10-17 23:55:37,883
2023-10-17 23:57:44,880
2023-10-17 23:59:51,877
2023-10-18 00:01:58,875
2023-10-18 00:04:05,872
2023-10-18 00:06:12,866
2023-10-18 00:08:19,857
2023-10-18 00:10:26,853
2023-10-18 00:12:33,850
2023-10-18 00:14:40,848
2023-10-18 00:16:48,849
2023-10-18 00:18:55,845
2023-10-18 00:21:02,836
2023-10-18 00:23:09,837
2023-10-18 00:25:16,827
2023-10-18 00:27:23,826
2023-10-18 00:29:30,821
2023-10-18 00:31:37,816
2023-10-18 00:33:44,815
2023-10-18 00:35:51,815
2023-10-18 00:37:58,807
